,is_employed,self_employed,salary,additional_income,credit_score,eviction,criminal,age,score,is_good
421,True,False,61800,0,785,1,1,26,84.56164383561644,1.0
422,True,False,11000,0,811,1,1,32,25.0,0.0
423,True,False,4200,0,551,1,1,37,20.0,0.0
424,True,False,3800,0,543,1,1,43,70.0,1.0
425,True,False,4458,0,813,1,1,31,78.68036529680366,1.0
426,False,False,2000,1959,543,1,1,28,20.0,0.0
427,True,False,2748816,400,582,1,1,19,70.0,1.0
428,True,False,2408,681,554,1,2,21,20.0,0.0
429,True,False,800,0,543,1,1,27,20.0,0.0
430,True,False,2300,2117,542,1,1,47,20.0,0.0
431,False,False,2000,0,558,1,2,40,20.0,0.0
432,True,False,8500,0,576,1,1,60,70.0,1.0
433,True,False,2800,0,517,1,1,29,77.48310502283105,1.0
434,True,False,2000,0,543,1,1,58,20.0,0.0
435,True,False,3000,0,591,1,2,30,25.0,0.0
436,True,False,3000,0,400,0,0,27,60.0,0.0
437,True,False,3000,0,611,1,1,20,25.0,0.0
438,True,False,3200,0,495,2,1,40,20.0,0.0
439,True,False,2400,0,543,1,1,57,20.0,0.0
440,True,False,4500,0,819,1,1,27,70.0,1.0
441,True,False,1400,480,676,1,1,22,20.0,0.0
442,True,False,5191,0,800,1,1,27,78.74337899543379,1.0
443,True,False,6500,0,611,1,1,28,20.0,0.0
444,True,False,200000,0,522,1,2,28,20.0,0.0
445,True,False,2000,0,400,0,0,28,60.0,0.0
446,False,False,2000,0,660,1,1,23,20.0,0.0
447,True,False,4583,0,541,1,1,34,20.0,0.0
448,True,False,3500,0,732,1,1,24,83.32237442922374,1.0
449,True,False,1400,1008,618,1,1,66,70.0,1.0
450,True,False,3200,0,658,1,1,24,83.59543378995434,1.0
451,True,False,4100,0,543,1,1,40,70.0,1.0
452,True,False,10250,0,819,1,1,48,81.89406392694065,1.0
453,True,False,1600,0,567,1,2,20,77.33607305936073,1.0
454,True,True,1480,0,615,1,1,25,83.74246575342465,1.0
455,False,True,8000,0,728,1,1,45,25.0,0.0
456,False,False,2000,414,400,0,0,20,60.0,0.0
457,True,False,2600,500,565,1,1,53,25.0,0.0
458,False,False,2000,1500,724,1,2,32,20.0,0.0
459,False,False,2000,0,624,1,1,22,83.61643835616438,1.0
460,True,False,3000,0,566,1,2,25,60.0,0.0
461,False,False,2000,0,597,1,1,67,20.0,0.0
462,True,False,4000,0,626,1,2,43,20.0,0.0
463,True,False,2000,0,400,0,0,26,60.0,0.0
464,True,False,2960,0,567,1,1,29,70.0,1.0
465,True,False,6500,0,520,1,2,31,20.0,0.0
466,True,False,2000,0,645,1,2,42,20.0,0.0
467,True,False,9200,0,749,1,1,30,82.18812785388128,1.0
468,True,False,2600,0,587,1,1,21,25.0,0.0
469,True,False,19,0,550,1,2,39,20.0,0.0
470,True,False,3000,0,588,1,2,29,70.0,1.0
471,True,False,1500,1000,618,1,1,21,78.74337899543379,1.0
472,True,False,4866,0,543,1,1,44,60.0,0.0
473,True,False,2600,0,585,1,1,32,20.0,0.0
474,True,False,1600,0,554,1,1,35,20.0,0.0
475,True,False,3000,745,542,1,1,29,20.0,0.0
476,True,True,1404,25,720,1,2,58,20.0,0.0
477,False,True,2400,200,468,1,1,42,20.0,0.0
478,False,True,10000,0,768,1,1,28,66.02809370892783,0.0
479,False,False,2000,0,741,1,1,20,68.07411989983797,0.0
480,True,True,2400,0,503,1,1,28,20.0,0.0
481,True,False,10000,0,850,1,1,58,70.0,1.0
482,True,False,3502,0,543,1,1,22,71.85762743453546,0.0
483,True,False,4200,0,655,1,1,31,76.91452517195539,1.0
484,True,False,3200,1000,642,1,1,21,60.0,0.0
